name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
Poshmark,E-commerce,"Redwood City, California, US",,,,"May 10, 2011; 13 years ago (2011-05-10)",,US$262 million (2020)[1],c. 800 (2022)[2],poshmark.com,https://en.wikipedia.org/wiki/Poshmark,,"['Manish Chandra', 'Tracy Sun', 'Chetan Pungaliya', 'Gautam Golwala']",,
Ross Stores,Retail,"Dublin, California, U.S.",202.0,,Nasdaq: ROSTNasdaq-100 componentS&P 500 component,"1950Pacifica, California, U.S.[1]","['Barbara Rentler (CEO)', 'K. Gunnar Bjorklund (executive chairman)', 'Michael Balmuth (president)', 'Michael J. Hartshorn (COO)']",US$14.89 billion (2018)[4],"88,100 (2019)",rossstores.comddsdiscounts.com,https://en.wikipedia.org/wiki/Ross_Stores,"[""dd's Discounts""]",,,
Stitch Fix,Technology,"One Montgomery Tower, San Francisco, California, U.S.",,,Nasdaq: SFIX (Class A)Russell 2000 component,"February 2011; 13 years ago (2011-02), in Cambridge, Massachusetts, U.S.","['Katrina Lake (chairperson)', 'Matt Baer (CEO)']","US$1,337 million (2024)","4,570 (2024)",stitchfix.com,https://en.wikipedia.org/wiki/Stitch_Fix,,"['Katrina Lake', 'Erin Morrison Flynn']",['Styling'],
Tea Collection,Retail,"San Francisco, California, United States",,,,"San Francisco, California (2002 (2002))",['Emily Meyer  Leigh Rawdon'],US$40.3m (2014)[1],90,www.teacollection.com,https://en.wikipedia.org/wiki/Tea_Collection,,,,
Zazzle,"Internet, online retailing","Redwood City, California, United States",,,,2005; 19 years ago (2005),['Robert Beaver (CEO)'],,,zazzle.com,https://en.wikipedia.org/wiki/Zazzle,,['Robert BeaverBobby BeaverJeff Beaver'],,
Byton,"Automotive, Electric Vehicles","Nanjing, China",,,,2016; 8 years ago (2016),['Ding Qingfen (Acting CEO)'],,more than 10 worldwide (July 2020),byton.com,https://en.wikipedia.org/wiki/Byton_(company),,,,
Cruise,Self-driving car,"San Francisco, California, U.S.",,,,October 2013; 11 years ago (2013-10),['Marc Whitten (CEO)Mo Elshenawy (president & CTO)[1][2]'],,"1,800[3] (2020)",getcruise.com,https://en.wikipedia.org/wiki/Cruise_Automation,,"['Kyle Vogt', 'Dan Kan']",,
Lucid Motors,Automotive,"Newark, California, U.S.",,,Nasdaq: LCID (Class A)Russell 1000 component,2007; 17 years ago (2007),"['Peter Rawlinson (CEO, CTO)', 'Andrew Liveris (chairman)', 'Sam Weng (COO)']",US$595 million (2023),"c. 6,500 (2023)",www.lucidmotors.com,https://en.wikipedia.org/wiki/Lucid_Motors,,"['Bernard Tse', 'Sam Weng', 'Sheaupyng Lin']",,
Motiv Power Systems[2],Electric vehicles,"Foster City, California, United States of America",,,,2009,,,,,https://en.wikipedia.org/wiki/Motiv_Power_Systems,,,,
Nio,Automotive,"Shanghai, China",,,NYSE: NIOSEHK: 9866SGX: NIO,November 2014; 10 years ago (2014-11),"['William Li (CEO)', 'Lihong Qin (President)', 'Wei Feng (CFO)']",CN¥16.258 billion (2020),"20,000+ (2023)",nio.com,https://en.wikipedia.org/wiki/Nio_Inc.,,,,
Rivian,AutomotiveEnergy storage,"Irvine, California, U.S.[1]",,,Nasdaq: RIVN (Class A)Russell 1000 component,"June 2009; 15 years ago (2009-06) in Rockledge, Florida",['R. J. Scaringe (CEO)'],US$4.43 billion (2023),"16,790 (December 2023)",rivian.com,https://en.wikipedia.org/wiki/Rivian,,,"['Electric vehicle charging[2]', 'Vehicle insurance[3]']",
Uber,TransportationMobility as a service,"San Francisco, California, U.S.",,,NYSE: UBERDJTA componentS&P 500 component,March 2009; 15 years ago (2009-03),"['Ronald Sugar (chairman)', 'Dara Khosrowshahi (CEO)']",US$37.281 billion (2023),"30,400 (2023)",uber.com,https://en.wikipedia.org/wiki/Uber,"['Careem (2020–2023)', 'Cornershop', 'Drizly (2021–2024)', 'Postmates', 'Uber Carshare (2022-2024)', 'Uber Eats']","['Garrett Camp', 'Travis Kalanick']","['Taxi', 'Food delivery', 'Package delivery', 'Freight transport']",
Waymo,Autonomous cars,"Mountain View, California, USA",,,,"January 17, 2009; 15 years ago (January 17, 2009) (as the Google Self-Driving Car Project)December 13, 2016; 7 years ago (2016-12-13) (as Waymo)2004; 20 years ago (2004) (as Stanford Self-Driving Car Team)","['Dmitri Dolgov (co-CEO)', 'Tekedra Mawakana (co-CEO)']",,"2,500 (2023)",waymo.com,https://en.wikipedia.org/wiki/Waymo,,,,
Zoox,Automotive,"Foster City, California",,,,2014; 10 years ago (2014),['Aicha Evans (CEO)'],,"c. 2,200 (2023)[1]",zoox.com,https://en.wikipedia.org/wiki/Zoox_(company),,"['Tim Kentley-Klay', 'Jesse Levinson']",,
23andMe,BiotechnologyGenetic genealogy,"South San Francisco, California, United States",,,Nasdaq: ME,April 2006; 18 years ago (2006-04),['Anne Wojcicki (CEO)'],US$192 million (2024),582 (2024),23andme.com,https://en.wikipedia.org/wiki/23andMe,,"['Linda Avey', 'Paul Cusenza', 'Anne Wojcicki']","['Genetic testing', 'Genealogical DNA testing', 'Medical research']",
Anthera Pharmaceuticals,Pharmaceuticals,"Hayward, California, U.S.",,,Nasdaq: ANTH,2004,['Craig Thompson(President and CEO)'],,,Anthera.com,https://en.wikipedia.org/wiki/Anthera_Pharmaceuticals,,,,
Bio-Rad Laboratories,Medical laboratorieslife science research,"Hercules, California, U.S.",,,NYSE: BIO (Class A)S&P 400 component,1952; 72 years ago (1952),"['Norman Schwartz', '(President & CEO)', 'Andy Last', '(COO)', 'Ilan Daskal', '(CFO)[1]', 'Michael Crowley', '(EVP Global Commercial Operations)', 'Simon May[2]', '(President, Life Science Group)', 'Dara Wright', '(President, Clinical Diagnostics Group)']",US$2.67 billion (2023),"≈ 8,030 (December 2023)",bio-rad.com,https://en.wikipedia.org/wiki/Bio-Rad_Laboratories,,"['David Schwartz', 'Alice Schwartz']",,
